"Manufacturer Name","Model Name","HardWare Number","FirmWare Number","Application Number","Approval Number","Version","Approval Class","Product Type","Expiry Date","PIN Support","PIN Key Management","SRED Key Management","Prompt Control","PIN Entry Technology","Functions Provided","Approved usage","Remote-managed HSM","Supports ISO Format 4 (AES) PIN Blocks","Interface Isolation","Not Marketed"
"4P Mobile Data Processing",4Pad," 0021600x1x (without MSR) 0021600x0x (with MSR)",1.xxx,,4-60232,5.x,PED,OEM,"30 Apr 2026","Online & Offline","TDES:DUKPT; AES:Fixed",,Vendor-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,SRED",,,,,0
"Access Computech Pvt Ltd","APos A20"," APos A20_21_xx_xx (Without Wi-Fi; Bluetooth)  APos A20_22_xx_xx (Without Wi-Fi; Bluetooth; CTLS)  APos A20_23_xx_xx (Without Wi-Fi; Bluetooth; CTLS; Front Camera)  APos A20_24_xx_xx (Without Wi-Fi; Bluetooth; CTLS; Front Camera; Rear Camera)  F20_01_xx_xx (Without Wi-Fi; BT)  F20_02_xx_xx (Without Wi-Fi; BT; CTLS)  F20_03_xx_xx (Without Wi-Fi; BT; CTLS; Front Camera)  F20_04_xx_xx (Without Wi-Fi; BT; CTLS; Front Camera; 2M Rear Camera)  F20_10_xx_xx (Full function)  F20_11_xx_xx (Without Wi-Fi; Bluetooth)  F20_12_xx_xx (Without Wi-Fi; Bluetooth; CTLS)  F20_13_xx_xx (Without Wi-Fi; Bluetooth; CTLS; Front Camera)  F20_14_xx_xx (Without Wi-Fi; Bluetooth; CTLS; Front Camera; 2M Rear Camera) APos A20_20_xx_xx (Full function) F20_00_xx_xx (Full function)"," Android OS: A20_OS_1.2.0.3_xxx_xxxxxxxxxxxx, Android OS: F20_OS_1.1.3.0_xxx_xxxxxxxx, Android OS: F20_OS_1.1.6.0_xxx_xxxxxxxxxx, Secure Boot: F20_BL_1.00.02.00_xxxxxxxx, Secure Firmware: A20_SF_1.00.07.00_xx_xxxxxxxx, Secure Firmware: F20_SF_1.0.5.0_xx_xxxxxxxx, Secure Firmware: F20_SF_1.00.07.00_xx_xxxxxxxx,Secure Boot: A20_BL_1.00.02.00_xxxxxxxx,Secure Boot: F20_BL_1.0.2.0_xxxxxxxx",,4-90165,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:Fixed",,Vendor-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Advanced Card Systems Limited",ACM350-PCD,xx.xx-01.00-xx.xx,xx.xx-01.01-xx.xx,,4-40303,5.x,SCR,OEM,"30 Apr 2026",N/A,"TDES:N/A; AES:N/A",,N/A,N/A,"CTLS,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 1200","AMP 1200",2.2-xxxxxx-Secure,,4-30309,5.x,PED,,"30 Apr 2026",Online,"TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Physical Keypad","Display,CTLS,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 3000"," HW1Axx (With CTLS) HW0Axx (No CTLS)",2.1-xxxxxx-Secure,5.x,4-90068,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 6500"," AMP 6500-Ab (No CTLS; with camera)  AMP 6500-Bb (With CTLS; no camera)  AMP 6500-Cb (With CTLS and camera) AMP 6500-Ob (No CTLS; no camera)",2.1-xxxxxx-Secure,,4-90018,5.x,PED,OEM,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 7000"," HW1Axx (With CTLS) HW0Axx (No CTLS)",2.1-xxxxxx-Secure,,4-90044,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 8000"," AMP 8000-2xx (with CTLS)  AMP 8000-2xx-x (with CTLS) AMP 8000-1xx (without CTLS) AMP 8000-1xx-x (no CTLS)"," 2.3-xxxxxx-Secure,2.1-xxxxxx-Secure,2.2-xxxxxx-Secure",,4-30308,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Advanced Mobile Payment Inc.","AMP 8200"," AMP 8200-2xx (with CTLS)  AMP 8200-2xx-x (with CTLS) AMP 8200-1xx (without CTLS) AMP 8200-1xx-x (no CTLS)","2.1-xxxxxx-Secure,2.3-xxxxxx-Secure",,4-30300,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Advanced Mobile Payment Inc.","AMP 8200 Pro-X"," AMP 8200-1AA-x (No CTLS)  AMP 8200-1AO-x (No CTLS)  AMP 8200-2AA-x (With CTLS)  AMP 8200-2AO-x (With CTLS)  AMP 8200-2OA-x (With CTLS)  HW1Axx (With CTLS) AMP 8200-1OA-x (No CTLS) HW0Axx (No CTLS)","3.0-xxxxxx-Secure3.0-xxxxxx-Secure: 31 Dec 2024,3.0-xxxxxx-Secure: 31 Dec 2024",,4-90227,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:N/A; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Advanced Mobile Payment Inc.","AMP 9000"," HW1Axx (With CTLS) HW0Axx (No CTLS)",2.1-xxxxxx-Secure,,4-90043,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 9200"," AMP 9200-AC-x  AMP 9200-AO-x  AMP 9200-BC-x  AMP 9200-CC-x  AMP 9200-DC-x  AMP 9200-EC-x  AMP 9200-OC-x AMP 9200-OO-x","2.1-xxxxxx-Secure2.1-xxxxxx-Secure: 31 Dec 2026",,4-90201,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:N/A; FPE:No",Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Advanced Mobile Payment Inc.",P8100,HWxAxx,"3.0-xxxxxx-Secure3.0-xxxxxx-Secure: 31 Dec 2026",,4-90386,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:N/A; FPE:No",Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
